Player,Nation,Pos,Squad,Comp,Age,Main_position,Second_position,Nation_comp,Player_id
Brenden Aaronson,USA,"MF,FW",Leeds United,Premier League,21,MF,FW,United Kingdom,5bc43860
Paxten Aaronson,USA,"MF,DF",Eint Frankfurt,Bundesliga,18,MF,DF,Germany,4cd41883
James Abankwah,IRL,DF,Udinese,Serie A,18,DF,,Italy,4b7a9fcc
George Abbott,ENG,MF,Tottenham,Premier League,16,MF,,United Kingdom,56628958
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34,DF,,France,32c2d95f
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,22,MF,FW,France,7978cbf0
Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,MF,,France,82464ce3
Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,MF,,France,31626657
Oliver Abildgaard,DEN,MF,Hellas Verona,Serie A,26,MF,,Italy,8f5cdf66
Matthis Abline,FRA,"FW,MF",Auxerre,Ligue 1,19,FW,MF,France,0e46fa2f
Abner,BRA,DF,Betis,La Liga,22,DF,,Spain,7f9c5d2d
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,22,FW,MF,France,c2a6033c
Tammy Abraham,ENG,FW,Roma,Serie A,24,FW,,Italy,f586779e
Christian Acella,ITA,MF,Cremonese,Serie A,20,MF,,Italy,771a2cfe
Francesco Acerbi,ITA,DF,Inter,Serie A,34,DF,,Italy,b96b595c
Álvaro Aceves,ESP,GK,Valladolid,La Liga,19,GK,,Spain,be6faae0
Mohamed Achi,FRA,FW,Nantes,Ligue 1,20,FW,,France,1e93fc5d
Marcos Acuña,ARG,DF,Sevilla,La Liga,30,DF,,Spain,81442ecb
Che Adams,SCO,FW,Southampton,Premier League,26,FW,,United Kingdom,f2bf1b0f
Tyler Adams,USA,MF,Leeds United,Premier League,23,MF,,United Kingdom,2b09d998
Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,29,FW,MF,Germany,22919e97
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,24,DF,,United Kingdom,c81d773d
Martin Adeline,FRA,"MF,FW",Reims,Ligue 1,18,MF,FW,France,7587446d
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,20,FW,MF,Germany,501055d8
Amine Adli,MAR,"FW,MF",Leverkusen,Bundesliga,22,FW,MF,Germany,dcfb17f4
Yacine Adli,FRA,"MF,FW",Milan,Serie A,22,MF,FW,Italy,26777636
Michel Aebischer,SUI,"FW,MF",Bologna,Serie A,25,FW,MF,Italy,f9c927de
Felix Afena-Gyan,GHA,"FW,MF",Cremonese,Serie A,19,FW,MF,Italy,0154d290
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,25,DF,,France,75f1ed80
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21,GK,,Spain,a2c1a8d3
Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,MF,,France,8bc8829a
Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,22,DF,FW,Germany,cb6d81b3
Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,MF,,Spain,014aa7bd
Kevin Agudelo,COL,"MF,FW",Spezia,Serie A,23,MF,FW,Italy,46fa7204
Nayef Aguerd,MAR,DF,West Ham,Premier League,26,DF,,United Kingdom,288e1e13
Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,DF,,France,3dd738a1
Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,20,MF,FW,United Kingdom,a6c58494
Amar Ahmed,SWE,FW,Troyes,Ligue 1,18,FW,,France,22396615
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,28,MF,,France,48b28bfd
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,26,DF,,Spain,18abe173
Ola Aina,NGA,DF,Torino,Serie A,25,DF,,Italy,246d153b
Rayan Aït Nouri,ALG,DF,Wolves,Premier League,21,DF,,United Kingdom,9b398aea
Emanuel Aiwum,AUT,DF,Cremonese,Serie A,21,DF,,Italy,d810c13b
Kristoffer Ajer,NOR,DF,Brentford,Premier League,24,DF,,United Kingdom,a8c0acb7
Ludovic Ajorque,FRA,FW,Strasbourg,Ligue 1,28,FW,,France,462475ed
Manuel Akanji,SUI,DF,Manchester City,Premier League,27,DF,,United Kingdom,89ac64a6
Nathan Aké,NED,DF,Manchester City,Premier League,27,DF,,United Kingdom,eaeca114
Sergio Akieme,ESP,DF,Almería,La Liga,24,DF,,Spain,06efa9dc
Babatunde Akinsola,NGA,FW,Valladolid,La Liga,19,FW,,Spain,733aab44
Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,20,MF,FW,France,b625b241
Paul Akouokou,CIV,"MF,DF",Betis,La Liga,24,MF,DF,Spain,31f5b89b
Jean-Daniel Akpa-Akpro,CIV,"MF,FW",Empoli,Serie A,29,MF,FW,Italy,fdf4b948
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,27,DF,,Germany,6ec6fde0
David Alaba,AUT,DF,Real Madrid,La Liga,30,DF,,Spain,05439de2
Ángel Alarcón,ESP,FW,Barcelona,La Liga,18,FW,,Spain,455c26a4
Tomás Alarcón,CHI,MF,Cádiz,La Liga,23,MF,,Spain,99ea2ddd
Lucas Alario,ARG,"FW,MF",Eint Frankfurt,Bundesliga,29,FW,MF,Germany,834d0be5
Jordi Alba,ESP,DF,Barcelona,La Liga,33,DF,,Spain,4601e194
Luis Alberto,ESP,MF,Lazio,Serie A,29,MF,,Italy,5294a83f
Raúl Albiol,ESP,DF,Villarreal,La Liga,36,DF,,Spain,4bd414c1
Marc Albrighton,ENG,"FW,MF",Leicester City,Premier League,32,FW,MF,United Kingdom,b827d5b3
Thiago Alcántara,ESP,MF,Liverpool,Premier League,31,MF,,United Kingdom,77e84962
Carlos Alcaraz,ARG,"MF,FW",Southampton,Premier League,19,MF,FW,United Kingdom,4abac767
Rubén Alcaraz,ESP,MF,Cádiz,La Liga,31,MF,,Spain,036bba5f
Omar Alderete,PAR,DF,Getafe,La Liga,25,DF,,Spain,bb08bce9
Iván Alejo,ESP,"MF,FW",Cádiz,La Liga,27,MF,FW,Spain,3d7e48ce
Doğan Alemdar,TUR,GK,Rennes,Ligue 1,19,GK,,France,9e17ccff
Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,24,MF,FW,Spain,6c811eb7
Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,23,DF,,United Kingdom,cd1acf9d
Alejandro Alfaro,ESP,MF,Elche,La Liga,20,MF,,Spain,b907d169
Ángel Algobia,ESP,MF,Getafe,La Liga,23,MF,,Spain,acc1aefa
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,18,FW,MF,Spain,f8405304
Faride Alidou,GER,"DF,MF",Eint Frankfurt,Bundesliga,21,DF,MF,Germany,00f518d8
Alisson,BRA,GK,Liverpool,Premier League,29,GK,,United Kingdom,7a2e46a8
Jim Allevinah,GAB,"DF,FW",Clermont Foot,Ligue 1,27,DF,FW,France,1956b948
Dele Alli,ENG,MF,Everton,Premier League,26,MF,,United Kingdom,cea4ee8f
Domingos André Ribeiro Almeida,POR,MF,Valencia,La Liga,22,MF,,Spain,e6697917
Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,28,FW,,United Kingdom,862a1c15
Marcos Alonso,ESP,DF,Barcelona,La Liga,31,DF,,Spain,f4290206
Mickaël Alphonse,GLP,DF,Ajaccio,Ligue 1,33,DF,,France,0a63446f
Éder Álvarez Balanta,COL,"MF,FW",Schalke 04,Bundesliga,29,MF,FW,Germany,8ce30c57
Carlos Álvarez,ESP,MF,Sevilla,La Liga,18,MF,,Spain,56bcaaa0
Gastón Álvarez,URU,DF,Getafe,La Liga,22,DF,,Spain,852ddfb8
