Player ID,Player,Matches Played,90s,Minutes Played,Starts,Goals,npGoals,npxG,xG,PrgCarries,PrgPasses,CS,SoTA,Saves,GA,Crosses Stp,Crosses Opp,SoT,Passes Cmp,Passes Att,Ast,xAG,Passes Final 3rd,Challenges Tkl,Challenges Against Att,Tkl+Int,Tackles Def 3rd,Blocks,Clr,Goals_p90,npGoals_p90,npxG_p90,xG_p90,SoT_p90,PrgCarries_p90,PrgPasses_p90,xAG_p90,%PassesCmp,%TklCmp,%Saves,%CossesStopped
0000acda,Marco Benassi,17.0,12.1,1091.0,12.0,0.0,0.0,1.3,1.3,10.0,36.0,,,,,,,8.0,339.0,449.0,0.0,0.5,28.0,18.0,28.0,42.0,11.0,13.0,20.0,0.0,0.0,0.1074380165289256,0.1074380165289256,0.6611570247933884,0.8264462809917356,2.975206611570248,0.0413223140495867,75.50111358574611,64.28571428571429,,
00242715,Moussa Niakhate,14.0,12.9,1163.0,14.0,0.0,0.0,0.6,0.6,2.0,15.0,,,,,,,3.0,265.0,391.0,0.0,0.1,16.0,11.0,22.0,37.0,15.0,18.0,60.0,0.0,0.0,0.0465116279069767,0.0465116279069767,0.2325581395348837,0.1550387596899224,1.162790697674419,0.0077519379844961,67.77493606138107,50.0,,
00242b75,Leandro Barreiro Martins,31.0,23.8,2141.0,25.0,4.0,4.0,3.9,3.9,17.0,54.0,,,,,,,14.0,379.0,557.0,3.0,2.2,48.0,22.0,49.0,101.0,19.0,38.0,39.0,0.1680672268907563,0.1680672268907563,0.1638655462184874,0.1638655462184874,0.5882352941176471,0.7142857142857143,2.26890756302521,0.0924369747899159,68.04308797127469,44.89795918367347,,
00459419,Marko Arnautović,21.0,17.0,1530.0,18.0,10.0,7.0,4.8,7.2,13.0,36.0,,,,,,,15.0,328.0,467.0,0.0,1.9,17.0,1.0,6.0,11.0,2.0,11.0,10.0,0.5882352941176471,0.4117647058823529,0.2823529411764706,0.4235294117647059,0.8823529411764706,0.7647058823529411,2.117647058823529,0.1117647058823529,70.2355460385439,16.66666666666666,,
004d185e,Tete Morente,32.0,23.0,2068.0,23.0,4.0,4.0,4.2,4.2,60.0,63.0,,,,,,,14.0,571.0,785.0,0.0,1.1,44.0,15.0,36.0,58.0,18.0,23.0,28.0,0.1739130434782608,0.1739130434782608,0.1826086956521739,0.1826086956521739,0.6086956521739131,2.608695652173913,2.739130434782609,0.0478260869565217,72.73885350318471,41.66666666666667,,
007414dd,Samuel Edozie,17.0,6.3,567.0,5.0,0.0,0.0,0.9,0.9,26.0,13.0,,,,,,,3.0,111.0,164.0,0.0,0.4,6.0,3.0,8.0,23.0,6.0,7.0,6.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.4761904761904762,4.126984126984127,2.063492063492064,0.0634920634920635,67.6829268292683,37.5,,
0076ab7f,Nemanja Gudelj,34.0,30.9,2779.0,31.0,3.0,3.0,1.7,1.7,29.0,110.0,,,,,,,9.0,1445.0,1602.0,1.0,0.4,113.0,20.0,33.0,77.0,22.0,39.0,102.0,0.0970873786407767,0.0970873786407767,0.0550161812297734,0.0550161812297734,0.2912621359223301,0.9385113268608416,3.5598705501618126,0.0129449838187702,90.19975031210986,60.60606060606061,,
00891164,Cédric Hountondji,36.0,34.4,3095.0,35.0,0.0,0.0,1.1,1.1,5.0,84.0,,,,,,,4.0,1251.0,1446.0,0.0,0.4,50.0,19.0,29.0,109.0,31.0,44.0,132.0,0.0,0.0,0.0319767441860465,0.0319767441860465,0.1162790697674418,0.1453488372093023,2.441860465116279,0.0116279069767441,86.51452282157676,65.51724137931035,,
00963611,Konstantinos Mavropanos,28.0,25.4,2286.0,26.0,2.0,2.0,4.0,4.0,34.0,120.0,,,,,,,12.0,1255.0,1512.0,1.0,1.1,92.0,28.0,38.0,113.0,32.0,39.0,99.0,0.0787401574803149,0.0787401574803149,0.1574803149606299,0.1574803149606299,0.4724409448818898,1.3385826771653544,4.724409448818898,0.0433070866141732,83.0026455026455,73.68421052631578,,
009a4f60,Julian Ryerson,30.0,27.2,2447.0,29.0,1.0,1.0,1.2,1.2,74.0,87.0,,,,,,,8.0,1167.0,1499.0,1.0,2.0,71.0,34.0,62.0,75.0,34.0,28.0,47.0,0.0367647058823529,0.0367647058823529,0.0441176470588235,0.0441176470588235,0.2941176470588235,2.7205882352941178,3.198529411764706,0.0735294117647058,77.85190126751166,54.83870967741935,,
00a17eba,Samuele Perisan,7.0,7.0,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,15.0,9.0,5.0,134.0,0.0,174.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.65217391304347,0.0,62.5,3.7313432835820803
00a8d210,Przemysław Frankowski,37.0,31.5,2833.0,31.0,5.0,2.0,1.8,4.2,51.0,132.0,,,,,,,6.0,1364.0,1828.0,3.0,6.8,92.0,39.0,80.0,118.0,37.0,38.0,42.0,0.1587301587301587,0.0634920634920634,0.0571428571428571,0.1333333333333333,0.1904761904761904,1.619047619047619,4.190476190476191,0.2158730158730158,74.61706783369803,48.75,,
00b28772,Nemanja Maksimović,29.0,22.8,2053.0,26.0,0.0,0.0,1.8,1.8,13.0,42.0,,,,,,,7.0,439.0,563.0,0.0,0.6,28.0,19.0,32.0,75.0,17.0,36.0,27.0,0.0,0.0,0.0789473684210526,0.0789473684210526,0.3070175438596491,0.5701754385964912,1.8421052631578947,0.0263157894736842,77.97513321492006,59.375,,
00eba9c9,Selim Amallah,7.0,3.0,267.0,3.0,2.0,2.0,0.9,0.9,11.0,10.0,,,,,,,2.0,63.0,83.0,1.0,0.3,7.0,5.0,8.0,20.0,7.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.3,0.3,0.6666666666666666,3.6666666666666665,3.333333333333333,0.0999999999999999,75.90361445783132,62.5,,
00f518d8,Faride Alidou,15.0,2.0,182.0,0.0,0.0,0.0,0.1,0.1,8.0,16.0,,,,,,,0.0,74.0,101.0,1.0,0.5,8.0,3.0,9.0,9.0,3.0,3.0,3.0,0.0,0.0,0.05,0.05,0.0,4.0,8.0,0.25,73.26732673267327,33.33333333333333,,
0107757e,Filip Jørgensen,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,3.0,2.0,18.0,0.0,49.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0909090909091,0.0,50.0,11.11111111111111
